"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Bryan Edwards","WR","","319.0","","","","","","","","","319.0"
"Fred Trevillion","WR","","320.0","","","","","","","","","320.0"
"Josh Johnson","QB","CIN","470.0","170.0","","","","","","","","320.0"
"Jordan Thomas","TE","","321.0","","","","","","","","","321.0"
"Louis Rees-Zammit","RB","FA","473.0","170.0","","","","","","","","321.5"
"Josh Whyle","TE","GB","628.6","170.0","","","","","","273.1","216.0","321.9"
"Xavier Smith","WR","LAR","479.0","170.0","","","","","","","","324.5"
"Nathan Carter","RB","ATL","644.0","170.0","","","","","","273.1","216.0","325.8"
"Zakhari Franklin","WR","","327.0","","","","","","","","","327.0"
"Cordarrelle Patterson","RB","FA","484.0","170.0","","","","","","","","327.0"
"Corey Kiner","RB","ARI","487.0","170.0","","","","","","","","328.5"
"Romello Brooker","TE","","329.0","","","","","","","","","329.0"
"Justin Watson","WR","HOU","489.5","170.0","","","","","","","","329.7"
"Mike Carter","RB","TEN","633.5","170.0","","","","","241.0","274.2","","329.7"
"Matt Fleming","WR","","330.0","","","","","","","","","330.0"
"Xazavian Valladay","RB","FA","492.0","170.0","","","","","","","","331.0"
"Jimmy Holiday","WR","KC","493.0","170.0","","","","","","","","331.5"
"Drew Lock","QB","SEA","555.8","169.9","","","","","","273.5","","333.1"
"Devon Allen","WR","","334.5","","","","","","","","","334.5"
"Jordan Westerkamp","WR","","335.0","","","","","","","","","335.0"
"Mathew Sexton","WR","","336.0","","","","","","","","","336.0"
"Skyy Moore","WR","GB","685.4","170.0","","","","","","273.2","216.0","336.1"
"Tyler Johnson","WR","DAL","503.3","170.0","","","","","","","","336.6"
"Dedrick Mills","RB","","337.0","","","","","","","","","337.0"
"Tai Felton","WR","MIN","692.7","170.0","","","","","","273.6","216.0","338.1"
"Maurice Ffrench","WR","","338.5","","","","","","","","","338.5"
"Jared Wayne","WR","HOU","630.0","170.0","","","","","","","216.0","338.7"
"Zamir White","RB","SF","631.7","170.0","","","","","","","216.0","339.2"
"Jamie Newman","QB","","340.5","","","","","","","","","340.5"
"Adam Trautman","TE","DEN","636.8","169.9","","","","","","","216.0","340.9"
"Ja'Quan Gardner","RB","","341.5","","","","","","","","","341.5"
"Ja'Corey Brooks","WR","FA","515.6","170.0","","","","","","","","342.8"
"Damon Hazelton","WR","","343.0","","","","","","","","","343.0"
"Romello Brinson","WR","","345.0","","","","","","","","","345.0"
"John FitzPatrick","TE","FA","522.5","170.0","","","","","","","","346.2"
"Tyrod Taylor","QB","GB","658.2","169.9","","","291.6","","","274.6","","348.6"
"Dan Chisena","WR","CAR","527.5","170.0","","","","","","","","348.7"
"Marquez Valdes-Scantling","WR","DAL","663.4","169.9","","","","","","","216.0","349.8"
"Vance McDonald","TE","","350.0","","","","","","","","","350.0"
"Chase Roberts","WR","LV","350.0","","","","","","","","","350.0"
"Jared Wiley","TE","KC","533.0","170.0","","","","","","","","351.5"
"Matt Landers","WR","","352.0","","","","","","","","","352.0"
"Trent Sherfield","WR","BUF","671.0","170.0","","","","","","","216.0","352.3"
"Nick Bowers","TE","","353.0","","","","","","","","","353.0"
"Taj McGowan","RB","","354.0","","","","","","","","","354.0"
"David Bell","WR","CLE","539.0","170.0","","","","","","","","354.5"
"Bryan Bennett","QB","","356.0","","","","","","","","","356.0"
"Tyler Mabry","TE","FA","545.5","170.0","","","","","","","","357.8"
"Charlie Woerner","TE","ATL","546.5","170.0","","","","","","","","358.2"
"Tyre Brady","WR","","358.6","","","","","","","","","358.6"
"Travis Dye","RB","","359.0","","","","","","","","","359.0"
"Xavier Weaver","WR","ARI","549.0","170.0","","","","","","","","359.5"
"Bo Scarbrough","RB","","360.0","","","","","","","","","360.0"
"Zavier Scott","RB","MIN","638.0","170.0","","","","","","273.1","","360.4"
"Nick Ralston","RB","","361.0","","","","","","","","","361.0"
"Drew Allar","QB","PIT","699.6","169.9","","","","","","","216.0","361.8"
"Marcelias Sutton","RB","","362.0","","","","","","","","","362.0"
"Hunter Renfrow","WR","FA","554.5","170.0","","","","","","","","362.2"
"Ted Ginn","WR","","363.3","","","","","","","","","363.3"
"Gary Brightwell","RB","CIN","558.5","170.0","","","","","","","","364.2"
"Will Sheppard","WR","GB","365.0","","","","","","","","","365.0"
"Garrett Greene","QB","TB","366.0","","","","","","","","","366.0"
"Jonathan Mingo","WR","DAL","655.2","169.9","","","","","","273.1","","366.1"
"Geronimo Allison","WR","","368.0","","","","","","","","","368.0"
"Garrett Nussmeier","QB","KC","668.0","170.0","","","","","","273.1","","370.4"
"Johnny King","WR","","371.0","","","","","","","","","371.0"
"Bub Means","WR","NO","572.0","170.0","","","","","","","","371.0"
"Kyle Philips","WR","","372.0","","","","","","","","","372.0"
"Tyler Conklin","TE","DET","676.4","170.0","","","","","","273.1","","373.2"
"Keith Kirkwood","WR","","373.5","","","","","","","","","373.5"
"Patrick Taylor","RB","SF","577.5","170.0","","","","","","","","373.7"
"Gardner Minshew","QB","ARI","677.8","170.0","","","","","","274.2","","374.0"
"Jared Cook","TE","","374.5","","","","","","","","","374.5"
"Calvin Jackson","WR","","375.0","","","","","","","","","375.0"
"Jackson Harris","TE","","375.5","","","","","","","","","375.5"
"Kenneth Lawler","WR","","377.0","","","","","","","","","377.0"
"Brock Wright","TE","DET","690.8","169.9","","","","","","273.1","","377.9"
"Chris Blair","WR","ATL","586.5","170.0","","","","","","","","378.2"
"Kobe McCrary","RB","","378.5","","","","","","","","","378.5"
"Brady Russell","TE","SEA","587.0","170.0","","","","","","","","378.5"
"Darrell Henderson","RB","","542.0","","","","","","","","216.0","379.0"
"Bo Melton","WR","GB","695.0","170.0","","","","","","273.1","","379.3"
"Boston Scott","RB","","381.3","","","","","","","","","381.3"
"Tim Jones","WR","JAX","593.0","170.0","","","","","","","","381.5"
"Dominic Lovett","WR","DET","594.0","170.0","","","","","","","","382.0"
"Justin Stockton","RB","","382.3","","","","","","","","","382.3"
"Tyren Montgomery","WR","TEN","384.0","","","","","","","","","384.0"
"Will Mallory","TE","IND","598.5","170.0","","","","","","","","384.2"
"AJ Henning","WR","MIA","386.7","","","","","","","","","386.7"
"Jordan Ta'amu","QB","","387.7","","","","","","","","","387.7"
"Sean Brown","WR","","388.0","","","","","","","","","388.0"
"Austin Trammell","WR","JAX","606.0","170.0","","","","","","","","388.0"
"Ben Skowronek","WR","PIT","607.4","169.9","","","","","","","","388.7"
"Josh Ferguson","RB","","390.0","","","","","","","","","390.0"
"Sincere Brown","WR","LAC","391.0","","","","","","","","","391.0"
"Amar Johnson","RB","LAC","615.0","170.0","","","","","","","","392.5"
"Jibri Blount","TE","","393.0","","","","","","","","","393.0"
"Kennedy Brooks","RB","","394.0","","","","","","","","","394.0"
"Kaidon Salter","QB","","395.0","","","","","","","","","395.0"
"Danny Gray","WR","PHI","621.7","170.0","","","","","","","","395.8"
"Adrian Martinez","QB","SF","626.2","170.0","","","","","","","","398.1"
"Valentine Holmes","RB","","399.5","","","","","","","","","399.5"
"Dan Villari","TE","LAR","400.0","","","","","","","","","400.0"
"Jake Funk","RB","","401.7","","","","","","","","","401.7"
"Tavonn Salter","WR","","402.0","","","","","","","","","402.0"
"Bobo Wilson","WR","","403.0","","","","","","","","","403.0"
"Johnny Lumpkin","TE","","404.0","","","","","","","","","404.0"
"Malik Cunningham","WR","DET","639.5","170.0","","","","","","","","404.8"
"D.J. Montgomery","WR","IND","641.7","170.0","","","","","","","","405.8"
"Duece Watts","WR","","406.0","","","","","","","","","406.0"
"Justin Shorter","WR","LV","643.5","170.0","","","","","","","","406.7"
"Hunter Kampmoyer","TE","","407.0","","","","","","","","","407.0"
"Brandon Smith","WR","PIT","645.0","170.0","","","","","","","","407.5"
"Floyd Allen","WR","","408.0","","","","","","","","","408.0"
"Brennan Presley","WR","LAR","646.5","170.0","","","","","","","","408.2"
"Ricky White","WR","SEA","647.0","170.0","","","","","","","","408.5"
"Dillon Johnson","RB","","409.0","","","","","","","","","409.0"
"Terrace Marshall","WR","MIA","648.0","170.0","","","","","","","","409.0"
"Diontae Johnson","WR","FA","649.8","170.0","","","","","","","","409.9"
"Noah Thomas","WR","CIN","605.0","","","","","","","","216.0","410.5"
"Darius Prince","WR","","410.7","","","","","","","","","410.7"
"Mohamed Sanu","WR","","411.0","","","","","","","","","411.0"
"Adam Thielen","WR","PIT","657.7","170.0","","","","","","","","413.8"
"Kyle Dixon","WR","NE","414.0","","","","","","","","","414.0"
"Eli Stove","WR","","415.0","","","","","","","","","415.0"
"Taylor Heinicke","QB","FA","661.0","170.0","","","","","","","","415.5"
"Dylan Cantrell","TE","","416.0","","","","","","","","","416.0"
"Malik Turner","WR","SF","662.0","170.0","","","","","","","","416.0"
"Kolbe Katsis","WR","DEN","417.0","","","","","","","","","417.0"
"Cody White","WR","SEA","664.0","170.0","","","","","","","","417.0"
"Chris Brazzell","WR","CAR","400.0","170.0","","","","","240.5","278.5","","417.6"
"Kehinde Oginni","TE","","418.0","","","","","","","","","418.0"
"Nick Vannett","TE","SEA","666.0","170.0","","","","","","","","418.0"
"Sam Ehlinger","QB","DEN","666.3","170.0","","","","","","","","418.1"
"Eric Saubert","TE","SEA","668.0","170.0","","","","","","","","419.0"
"Taulia Tagovailoa","QB","","420.0","","","","","","","","","420.0"
"Cam Latu","TE","PHI","673.1","170.0","","","","","","","","421.5"
"Trey Sermon","RB","ATL","674.0","170.0","","","","","","","","422.0"
"Brayden Lenius","TE","","423.0","","","","","","","","","423.0"
"Jaret Patterson","RB","LAC","677.0","170.0","","","","","","","","423.5"
"Devontres Dukes","WR","","424.0","","","","","","","","","424.0"
"Lewis Bond","WR","HOU","678.4","170.0","","","","","","","","424.2"
"Squirrel White","WR","","425.3","","","","","","","","","425.3"
"Jahwan Edwards","RB","","427.0","","","","","","","","","427.0"
"Brady Boyd","WR","JAX","431.0","","","","","","","","","431.0"
"Je'Quan Burton","WR","","434.0","","","","","","","","","434.0"
"Evan Svoboda","TE","LAC","436.0","","","","","","","","","436.0"
"Derrick Willies","WR","","437.5","","","","","","","","","437.5"
"Ian Wheeler","RB","BUF","438.5","","","","","","","","","438.5"
"A.J. Green","WR","","439.0","","","","","","","","","439.0"
"Racey McMath","WR","","440.0","","","","","","","","","440.0"
"Derek Carrier","TE","","441.0","","","","","","","","","441.0"
"Jordan Hudson","WR","DAL","443.0","","","","","","","","","443.0"
"Aaron Dykes","RB","","444.0","","","","","","","","","444.0"
"Justin Hall","WR","","446.0","","","","","","","","","446.0"
"Jeremiah Franklin","TE","MIA","447.5","","","","","","","","","447.5"
"Thomas Gordon","TE","DET","450.0","","","","","","","","","450.0"
"Lucky Jackson","WR","DET","453.6","","","","","","","","","453.6"
"TD Ayo-Durojaiye","RB","","454.0","","","","","","","","","454.0"
"Kye Robichaux","RB","DET","455.0","","","","","","","","","455.0"
"DeSean Jackson","WR","","457.2","","","","","","","","","457.2"
"Rohan Jones","TE","LAR","458.5","","","","","","","","","458.5"
"Hajj-Malik Williams","QB","","459.8","","","","","","","","","459.8"
"Cyrus Holder","WR","","461.0","","","","","","","","","461.0"
"Jake Fromm","QB","","463.7","","","","","","","","","463.7"
"Josh Kattus","TE","CIN","468.0","","","","","","","","","468.0"
"Jesse James","TE","","469.0","","","","","","","","","469.0"
"Denzel Mims","WR","DAL","471.0","","","","","","","","","471.0"
"Marquise Goodwin","WR","","472.0","","","","","","","","","472.0"
"Stephen Gosnell","WR","BUF","474.0","","","","","","","","","474.0"
"Dante Wright","WR","","475.0","","","","","","","","","475.0"
"Sammy Watkins","WR","","476.0","","","","","","","","","476.0"
"Johnny Pascuzzi","TE","LAC","477.0","","","","","","","","","477.0"
"Malik Henry","WR","","478.0","","","","","","","","","478.0"
"Roland Rivers","QB","","479.7","","","","","","","","","479.7"
"Patrick Carr","RB","","481.3","","","","","","","","","481.3"
"Javon Wims","WR","","482.5","","","","","","","","","482.5"
"Jared Rice","TE","","483.0","","","","","","","","","483.0"
"Coleman Bennett","RB","CHI","485.0","","","","","","","","","485.0"
"Ryan Tannehill","QB","","486.4","","","","","","","","","486.4"
"Josh Rosen","QB","","488.0","","","","","","","","","488.0"
"Julian Fleming","WR","","490.5","","","","","","","","","490.5"
"Landon Rice","TE","","491.5","","","","","","","","","491.5"
"Jalen Guyton","WR","","494.0","","","","","","","","","494.0"
"Marchie Murdock","WR","","495.0","","","","","","","","","495.0"
"Jordan Reed","TE","","498.8","","","","","","","","","498.8"
"N'Keal Harry","TE","","499.0","","","","","","","","","499.0"
"Hank Beatty","WR","TEN","500.0","","","","","","","","","500.0"
"Mante Morrow","WR","","501.0","","","","","","","","","501.0"
"Tony Tyus","RB","CAR","502.0","","","","","","","","","502.0"
"David Blough","QB","","503.5","","","","","","","","","503.5"
"Carl Tucker","TE","","506.0","","","","","","","","","506.0"
"James Gilbert","RB","","507.0","","","","","","","","","507.0"
"Jaylen Samuels","RB","","508.0","","","","","","","","","508.0"
"Marvin Jones","WR","","509.0","","","","","","","","","509.0"
"James Butler","RB","","510.0","","","","","","","","","510.0"
"K.J. Maye","WR","","511.0","","","","","","","","","511.0"
"Darren Carrington","WR","","511.7","","","","","","","","","511.7"
"Kellen Mond","QB","","513.3","","","","","","","","","513.3"
"Diontae Spencer","WR","","514.5","","","","","","","","","514.5"
"Malachi Jones","WR","","516.0","","","","","","","","","516.0"
"Chris Carson","RB","","517.0","","","","","","","","","517.0"
"Daurice Fountain","WR","","518.0","","","","","","","","","518.0"
"Jalen Greene","WR","","519.0","","","","","","","","","519.0"
"Travis Benjamin","WR","","520.0","","","","","","","","","520.0"
"Christian Wade","RB","","521.5","","","","","","","","","521.5"
"Josh Kelly","WR","HOU","523.0","","","","","","","","","523.0"
"Xavier Loyd","WR","KC","525.0","","","","","","","","","525.0"
"Jeff Caldwell","WR","KC","526.0","","","","","","","","","526.0"
"Dylan Devezin","RB","","529.8","","","","","","","","","529.8"
"Jamal Pettigrew","TE","","530.3","","","","","","","","","530.3"
"Jake Coker","QB","","532.0","","","","","","","","","532.0"
"Kyron Drones","QB","GB","535.5","","","","","","","","","535.5"
"Kentrel Bullock","RB","CIN","536.0","","","","","","","","","536.0"
"Demetris Robertson","WR","","537.3","","","","","","","","","537.3"
"BJ Baylor","RB","","538.0","","","","","","","","","538.0"
"Napoleon Maxwell","RB","","540.0","","","","","","","","","540.0"
"Ian Bunting","TE","","541.8","","","","","","","","","541.8"
"Courtney Jackson","WR","TEN","543.0","","","","","","","","","543.0"
"John Michael Gyllenborg","TE","KC","545.0","","","","","","","","","545.0"
"Donte Moncrief","WR","","547.5","","","","","","","","","547.5"
"Nick Easley","WR","","548.0","","","","","","","","","548.0"
"Da'Mari Scott","WR","","551.0","","","","","","","","","551.0"
"Oliver Martin","WR","","552.0","","","","","","","","","552.0"
"Christian Blake","WR","","553.0","","","","","","","","","553.0"
"Tony Torres","TE","","556.0","","","","","","","","","556.0"
"Evan Berry","WR","","557.0","","","","","","","","","557.0"
"J. Michael Sturdivant","WR","GB","559.0","","","","","","","","","559.0"
"Garrett Dickerson","TE","","561.3","","","","","","","","","561.3"
"Kadarius Calloway","RB","TB","562.3","","","","","","","","","562.3"
"Cash Jones","RB","ATL","563.0","","","","","","","","","563.0"
"De'Anthony Thomas","WR","","564.0","","","","","","","","","564.0"
"Xavier Turner","RB","","566.0","","","","","","","","","566.0"
"J.J. Jones","WR","","567.0","","","","","","","","","567.0"
"Ito Smith","RB","DAL","568.0","","","","","","","","","568.0"
"Joe Webb","QB","","570.0","","","","","","","","","570.0"
"Terry Swanson","RB","","573.0","","","","","","","","","573.0"
"Tayvion Robinson","WR","","574.0","","","","","","","","","574.0"
"Malick Meiga","WR","","575.5","","","","","","","","","575.5"
"Trebor Pena","WR","JAX","576.0","","","","","","","","","576.0"
"Tanner Morgan","QB","","578.0","","","","","","","","","578.0"
"Austin Proehl","WR","","579.7","","","","","","","","","579.7"
"Trent Pennix","TE","","580.0","","","","","","","","","580.0"
"Jay Lee","WR","","581.0","","","","","","","","","581.0"
"Brandon Silvers","QB","","582.0","","","","","","","","","582.0"
"Damien Caffrey","TE","","583.0","","","","","","","","","583.0"
"Case Cookus","QB","","585.3","","","","","","","","","585.3"
"Sammis Reyes","TE","","588.0","","","","","","","","","588.0"
"Mike Davis","RB","","589.0","","","","","","","","","589.0"
"Keelan Doss","WR","","590.0","","","","","","","","","590.0"
"Larry Rountree","RB","","591.0","","","","","","","","","591.0"
"Byron Pringle","WR","","591.5","","","","","","","","","591.5"
"Trey Quinn","WR","","595.0","","","","","","","","","595.0"
"Giovani Bernard","RB","","596.0","","","","","","","","","596.0"
"Jermaine Kearse","WR","","597.0","","","","","","","","","597.0"
"Aca'Cedric Ware","RB","","599.5","","","","","","","","","599.5"
"Chad Beebe","WR","","599.5","","","","","","","","","599.5"
"Bryson Nesbit","TE","MIN","601.0","","","","","","","","","601.0"
"Tony Boone","QB","","604.0","","","","","","","","","604.0"
"Papi White","WR","","607.0","","","","","","","","","607.0"
"Henry Litwin","WR","","609.8","","","","","","","","","609.8"
"Camden Brown","WR","DAL","610.0","","","","","","","","","610.0"
"Mark Chapman","WR","","611.0","","","","","","","","","611.0"
"Marcus Simms","WR","","612.0","","","","","","","","","612.0"
"Will Fuller","WR","","612.0","","","","","","","","","612.0"
"Rashaad Penny","RB","","614.0","","","","","","","","","614.0"
"Amari Rodgers","WR","","616.0","","","","","","","","","616.0"
"Landen Akers","WR","","617.0","","","","","","","","","617.0"
"Tyler McCloskey","RB","","618.0","","","","","","","","","618.0"
"Austin Appleby","QB","","619.0","","","","","","","","","619.0"
"Connor Slomka","RB","","620.0","","","","","","","","","620.0"
"Marcus Riley","WR","","623.6","","","","","","","","","623.6"
"Alex Smith","QB","","624.0","","","","","","","","","624.0"
"Tony Hankerson","RB","","625.0","","","","","","","","","625.0"
"Golden Tate","WR","","627.5","","","","","","","","","627.5"
"Jerome Lane","WR","","629.0","","","","","","","","","629.0"
"Deon Cain","WR","","634.5","","","","","","","","","634.5"
"Steve Wroblewski","TE","","637.7","","","","","","","","","637.7"
"Wayne Gallman","RB","","639.0","","","","","","","","","639.0"
"Josh Caldwell","RB","","642.2","","","","","","","","","642.2"
"Joe Manjack","WR","DEN","650.0","","","","","","","","","650.0"
"Bryant Mitchell","WR","","651.3","","","","","","","","","651.3"
"Sandro Platzgummer","RB","","652.6","","","","","","","","","652.6"
"Riley Sharp","TE","","653.3","","","","","","","","","653.3"
"Austin Wolf","WR","","653.5","","","","","","","","","653.5"
"Stevie Scott","RB","","654.0","","","","","","","","","654.0"
"Jalen Wayne","WR","","655.5","","","","","","","","","655.5"
"Gerald Holmes","RB","","659.3","","","","","","","","","659.3"
"Tommy Stevens","TE","NYG","660.0","","","","","","","","","660.0"
"Garrett Groshek","RB","","662.8","","","","","","","","","662.8"
"Joe Fagnano","QB","BAL","664.0","","","","","","","","","664.0"
"Kalen Ballage","RB","","665.0","","","","","","","","","665.0"
"Bryant Koback","RB","","667.0","","","","","","","","","667.0"
"Jay Ajayi","RB","","667.1","","","","","","","","","667.1"
"Phillip Brooks","WR","","669.0","","","","","","","","","669.0"
"Bryce Perkins","QB","","670.8","","","","","","","","","670.8"
"DaMarkus Lodge","WR","","671.5","","","","","","","","","671.5"
"Jacob De Jesus","WR","KC","671.9","","","","","","","","","671.9"
"Jack Sorenson","WR","","673.5","","","","","","","","","673.5"
"Jerome Cunningham","TE","","675.0","","","","","","","","","675.0"
"Marcus Peterson","WR","","675.2","","","","","","","","","675.2"
"Trevon Wesco","TE","","676.0","","","","","","","","","676.0"
"Todd Gurley","RB","","678.1","","","","","","","","","678.1"
"John Ursua","WR","","678.5","","","","","","","","","678.5"
"Cole Beck","WR","","679.0","","","","","","","","","679.0"
"Kalif Jackson","TE","MIA","680.0","","","","","","","","","680.0"
"Chris Brown","WR","","680.5","","","","","","","","","680.5"
"Sone Ntoh","RB","","681.5","","","","","","","","","681.5"
"Tyler Moore","TE","","682.2","","","","","","","","","682.2"
"Ryan Fitzpatrick","QB","","682.4","","","","","","","","","682.4"
"Josh Imatorbhebhe","WR","","683.1","","","","","","","","","683.1"
"Josh Gordon","WR","","684.0","","","","","","","","","684.0"
"Kai Locksley","WR","","685.0","","","","","","","","","685.0"
"Zimari Manning","WR","","686.5","","","","","","","","","686.5"
"Kekoa Crawford","WR","","687.0","","","","","","","","","687.0"
"T.J. Simmons","WR","","687.2","","","","","","","","","687.2"
"Chase Claypool","WR","","687.5","","","","","","","","","687.5"
"Mike Thomas","WR","","688.3","","","","","","","","","688.3"
"Broc Rutter","QB","","689.5","","","","","","","","","689.5"
"Jerand Bradley","WR","LAC","690.0","","","","","","","","","690.0"
"Al-Jay Henderson","RB","","691.0","","","","","","","","","691.0"
"Roman Hemby","RB","LV","691.0","","","","","","","","","691.0"
"Kole Taylor","TE","","692.0","","","","","","","","","692.0"
"Marlon Mack","RB","","693.0","","","","","","","","","693.0"
"Will Pauling","WR","SF","694.0","","","","","","","","","694.0"
"Sean Mannion","QB","","694.7","","","","","","","","","694.7"
"Nakia Griffin-Stewart","TE","","695.3","","","","","","","","","695.3"
"Vincent Testaverde","QB","","696.0","","","","","","","","","696.0"
"Lamar Miller","RB","","699.5","","","","","","","","","699.5"
"Kirk Merritt","WR","","700.0","","","","","","","","","700.0"
"Brandon Shippen","WR","","700.5","","","","","","","","","700.5"
